webtoon_id,title,genre,thumbnail,summary,episodes,Created by,view,subscribe,grade,released_date,url,cover,likes,Written by,Art by,Adapted by,Original work by,Assisted by
2963,Vampire Magicka,Fantasy,https://webtoon-phinf.pstatic.net/20220429_138/1651185709495VzEgw_PNG/7VampireMagicka_landingpage_desktop_fg.png,"In a world of humans and monsters, Visare is a young vampire obsessed with his favorite anime, Bunny Tenshi. When he finds a magic pendant, he embarks on a quest to save his missing sister. Facing mad scientists, robots, and other monsters, will he be able to become a hero like Bunny Tenshi? Or will his own powers betray him?",10,Bryan Golden,"469,947","62,692",8.41,"Mar 12, 2022",https://www.webtoons.com/en/fantasy/vampire-magicka/list?title_no=2963,https://webtoon-phinf.pstatic.net/20220429_235/1651185661332rfkcm_JPEG/3VampireMagicka_thumbnail_desktop.jpg?type=a210,"45,209",,,,,
3179,The Fabled Warrior,Fantasy,https://webtoon-phinf.pstatic.net/20210729_22/16275192457982Ld78_PNG/0TheFabledWarrior_desktop_landingpage_FG.png,"Myeongok is just your typical 49-year-old mother living her life with her family--at least, that’s what she’d want you to believe. When two people from another world suddenly show up and ask her to help save their world, she refuses. She has a family now and can’t risk putting her life on hold... but will she be able to say no if her daughter is involved? Will Myeongok be able to find some way to save this other world and protect what’s dearest to her as well?",41,,2.5M,"166,867",9.25,"Aug 8, 2021",https://www.webtoons.com/en/fantasy/the-fabled-warrior/list?title_no=3179,https://webtoon-phinf.pstatic.net/20210729_233/1627519096327dxdIC_JPEG/2TheFabledWarrior_desktop_thumbnail.jpg?type=a210,"379,853",Gosha,Solem,,,
3042,Tenants from Another World,Fantasy,https://webtoon-phinf.pstatic.net/20210709_106/1625794995132LmumY_PNG/7Tenants+from+Another+World_desktop_landingpage_FG.png,"Haeseo Han is an ordinary, hard-working office worker whose main concerns revolve around being overlooked for promotions, smug colleagues, and workplace stress. That is, until she finds herself intertwined in a prophecy that will determine the fate of a fantasy world! In the realm of the Beiston Empire, Haeseo is seen as the oracle who will determine the next successor to the throne and bring peace to the country. Hoping to win Haeseo’s favor and become the next emperor, the three charming yet eccentric princes of Beiston cross over into Haeseo’s world to begin their lives together as housemates!",45,,2.8M,"206,983",9.16,"Jul 14, 2021",https://www.webtoons.com/en/fantasy/tenants-from-another-world/list?title_no=3042,https://webtoon-phinf.pstatic.net/20210709_282/1625794894551gA2Xe_JPEG/5Tenants+from+Another+World_desktop_thumbnail.jpg?type=a210,"395,993",kiki,E-um,,,
3911,Hwarang: Flower Knights of the Underworld,Action,https://webtoon-phinf.pstatic.net/20220209_37/1644347955619Ljfgf_PNG/8Hwarang_landingpage_desktop_fg.png,"Seventeen-year-old Junhwi Kang, who can see ghosts, loses his memory after an accident. After passing the grim reaper’s challenge to win another chance at life, he is thrust into the underworld to live as an intern Hwarang, or Flower Knight. Junhwi is assigned to partner up with Horan, a peace officer partner, as they take on a series of investigations under the supervision of Bihyeongrang. Magicians, monsters, and legendary figures come into play in the mythical underworld. But what will be revealed when Junhwi investigates the circumstances of his own fateful accident?",14,,"461,066","83,130",9.22,"Feb 10, 2022",https://www.webtoons.com/en/action/hwarang/list?title_no=3911,https://webtoon-phinf.pstatic.net/20220209_253/1644347904705XTmSh_JPEG/2Hwarang_thumbnail_desktop.jpg?type=a210,"58,406",hwieum,striy,,,
83,Kubera,Fantasy,https://webtoon-phinf.pstatic.net/20220129_27/1643394894553cmWIO_PNG/1Kubera_desktop_landingpage_FG.png,"When Kubera loses her entire village on her 16th birthday, her salvation comes in the form of the magician, Asha. Together they journey through a world of Gods and Suras, magicians and pure-bloods. Intent on solving the mystery behind her past, Kubera may also hold the key to changing the world.",519,Currygom,50.1M,"237,414",9.70,"Jun 30, 2014",https://www.webtoons.com/en/fantasy/kubera/list?title_no=83,https://webtoon-phinf.pstatic.net/20220129_54/1643394932287ekbdH_JPEG/8Kubera_desktop_thumbnail.jpg?type=a210,3.6M,,,,,
3247,Tales of Sarimin the Jinn,Action,https://webtoon-phinf.pstatic.net/20210821_167/1629483621314Jbe04_PNG/4Tales+of+Sarimin+the+Jinn_desktop_landingpage_FG.png,"Sarimin is a jinn (spirit) who specializes in helping people get what they want at the price of their soul. In recent times, he’s been down on his luck, with fewer and fewer people seeming to believe in the power of spirits. With the help of his trusted monkey, Tuyul (a money-obsessed baby spirit), and Wasa, a human soul doomed to be a servant for eternity, Sarimin attempts to get back on his feet and adapt to the modern world. In Sarimin, we follow the titular character as he attempts to tempt a new generation of humans.",39,NAGATERBANG,1M,"82,401",9.55,"Aug 28, 2021",https://www.webtoons.com/en/action/sarimin/list?title_no=3247,https://webtoon-phinf.pstatic.net/20210821_33/1629483552889QFAh1_JPEG/2Tales+of+Sarimin+the+Jinn_desktop_thumbnail.jpg?type=a210,"137,483",,,,,
3386,Eyes,Fantasy,https://webtoon-phinf.pstatic.net/20210917_229/1631804678393aqpyU_PNG/7Eyes_desktop_landingpage_FG.png,"“Juan Seo” is a high school student who was born with just one eye. He has an uncanny feeling that someone is watching him every day at school. Even though he's scared to death, Juan can't help but be curious... Until one day, he learns of the ""avian humanoids"" and falls into a state of great confusion. In the midst of this blood curdling tension, the war of the avian humanoids is set in motion!",35,Jeong Summer,"579,888","33,262",9.71,"Sep 17, 2021",https://www.webtoons.com/en/fantasy/eyes/list?title_no=3386,https://webtoon-phinf.pstatic.net/20210917_89/1631804520324oo787_JPEG/2Eyes_desktop_thumbnail.jpg?type=a210,"85,531",,,,,
1772,The Wrath & the Dawn,Fantasy,https://webtoon-phinf.pstatic.net/20191105_86/1572901760064qyvUr_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"Khalid, the Caliph, takes a new bride each night only to have her executed at sunrise. So it is a suspicious surprise when Shahrzad volunteers to marry Khalid. However, Shahrzad has a clever plan - not only to stay alive - but to end the murderous King's reign of terror once and for all.

(A reimagining of 1001 Nights based on the YA novel by Renee Ahdieh.)",11,,70.5M,1M,9.55,"Nov 4, 2019",https://www.webtoons.com/en/fantasy/the-wrath-and-the-dawn/list?title_no=1772,https://webtoon-phinf.pstatic.net/20210329_14/1616995743382eHQvy_JPEG/3The-Wrath-26-the-Dawn_ipad.jpg?type=a210,5.4M,,SilvesterVitale,,Renée Ahdieh,
921,Denma,Sci-fi,https://webtoon-phinf.pstatic.net/20170106_73/1483691389463tlIz8_PNG/EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"Dike the Invincible Death is the #1 target for bounty hunters across planet Urano. After getting drugged by a mysterious woman in a bar, Dike wakes up in the body of Denma, a 12-year-old space courier. With Denma's powers as a Quanx, he journeys across the galaxy fighting futuristic societies, flying spaceships, and foiling insidious plots, all to get his body back.",1400,Youngsoon Yang,24.6M,"82,142",8.95,"Jan 7, 2017",https://www.webtoons.com/en/sf/denma/list?title_no=921,https://webtoon-phinf.pstatic.net/20210329_69/1617017067761XvqXi_JPEG/4Denma_ipad.jpg?type=a210,2.7M,,,,,
632,Siren's Lament,Romance,https://webtoon-phinf.pstatic.net/20160303_60/1456999805557UsORX_PNG/EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"Content with her ordinary life, Lyra is somewhat of a wallflower. However, her comfortable lifestyle suddenly goes astray when she accidentally plunges into the world of sirens. Entangled in a curse, Lyra will learn that her world may be a lot bigger than she had ever imagined.",26,instantmiso,432.4M,3.1M,9.75,"Mar 5, 2016",https://www.webtoons.com/en/romance/sirens-lament/list?title_no=632,https://webtoon-phinf.pstatic.net/20160408_102/14600813659697spkc_JPEG/EC8DB8EB84A4EC9DBC_ipad.jpg?type=a210,22.9M,,,,,
1358,Aerial Magic,Fantasy,https://webtoon-phinf.pstatic.net/20190220_148/1550607286012cz79a_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,The daily life of an apprentice witch.,56,walkingnorth,16.2M,"527,175",9.68,"Apr 16, 2018",https://www.webtoons.com/en/fantasy/aerial-magic/list?title_no=1358,https://webtoon-phinf.pstatic.net/20210329_267/16170159746465EY52_JPEG/7Aerial-Magic_ipad.jpg?type=a210,1.7M,,,,,
1559,Cape of Spirits,Action,https://webtoon-phinf.pstatic.net/20190312_267/1552341742259ThM86_PNG/03_EC9E91ED9288EC8381EC84B8_PC_ECBA90EBA6ADED84B0.png,"A former heir to the throne, Jinsei Kimura is now a fugitive on the run from the very empire he once called home.  Now, to clear his name, Jinsei must fight alongside a team once sworn to deliver his head – working together to uncover the truth behind the coins that power their civilization. In a world without trust, where long-time allies are now enemies, can Jinsei harness the power of the Spirit Coins to find his own personal redemption?",90,Kris Nguyen,21.4M,"520,779",9.48,"Mar 19, 2019",https://www.webtoons.com/en/action/cape-of-spirits/list?title_no=1559,https://webtoon-phinf.pstatic.net/20210329_192/1617016637977Chgy9_JPEG/2Cape-of-Spirits_ipad.jpg?type=a210,2.3M,,,,,
84,Trump,Fantasy,https://webtoon-phinf.pstatic.net/20140915_127/1410758678065MI7pf_PNG/23_ED8AB8EB9FBCED9484.png,"On February 29th, children under the age of 14 are said to have their wishes granted on a day known as Melly Day. In a world where humans are said to be blessed by the gods, Hiasen has been granted the ability to manipulate mana in his dreams... but all he really wants is to see his mother again. When his wish is granted on Melly Day, the world as he knows it changes forever.",358,Chaeeun Lee,26.4M,"352,973",9.54,"Jun 30, 2014",https://www.webtoons.com/en/fantasy/trump/list?title_no=84,https://webtoon-phinf.pstatic.net/20140710_16/1404979920243kVOsl_JPEG/33_ED8AB8EB9FBCED9484.jpg?type=a210,1.7M,,,,,
