title,volume,authors,year,pages,link,code
Redundancy Techniques for Straggler Mitigation in Distributed Optimization and Learning,Volume 20,"['Can Karakus', 'Yifan Sun', 'Suhas Diggavi', 'Wotao Yin']",2019,47,https://www.jmlr.org/papers/volume20/18-148/18-148.pdf,
Analysis of Langevin Monte Carlo via Convex Optimization,Volume 20,"['Alain Durmus', 'Szymon Majewski', 'BÅ\x82aÅ¼ej Miasojedow']",2019,46,https://www.jmlr.org/papers/volume20/18-173/18-173.pdf,
Deep Optimal Stopping,Volume 20,"['Sebastian Becker', 'Patrick Cheridito', 'Arnulf Jentzen']",2019,25,https://www.jmlr.org/papers/volume20/18-232/18-232.pdf,
Fairness Constraints: A Flexible Approach for Fair Classification,Volume 20,"['Muhammad Bilal Zafar', 'Isabel Valera', 'Manuel Gomez-Rodriguez', 'Krishna P. Gummadi']",2019,42,https://www.jmlr.org/papers/volume20/18-262/18-262.pdf,
Generalized Score Matching for Non-Negative Data,Volume 20,"['Shiqing Yu', 'Mathias Drton', 'Ali Shojaie']",2019,70,https://www.jmlr.org/papers/volume20/18-278/18-278.pdf,
Nonuniformity of P-values Can Occur Early in Diverging Dimensions,Volume 20,"['Yingying Fan', 'Emre Demirkaya', 'Jinchi Lv']",2019,33,https://www.jmlr.org/papers/volume20/18-314/18-314.pdf,
Prediction Risk for the Horseshoe Regression,Volume 20,"['Anindya Bhadra', 'Jyotishka Datta', 'Yunfan Li', 'Nicholas G. Polson', 'Brandon Willard']",2019,39,https://www.jmlr.org/papers/volume20/18-321/18-321.pdf,
Quantification Under Prior Probability Shift: the Ratio Estimator and its Extensions,Volume 20,"['Afonso Fernandes Vaz', 'Rafael Izbicki', 'Rafael Bassi Stern']",2019,33,https://www.jmlr.org/papers/volume20/18-456/18-456.pdf,
Learning to Match via Inverse Optimal Transport,Volume 20,"['Ruilin Li', 'Xiaojing Ye', 'Haomin Zhou', 'Hongyuan Zha']",2019,37,https://www.jmlr.org/papers/volume20/18-700/18-700.pdf,
Tight Lower Bounds on the VC-dimension of Geometric Set Systems,Volume 20,"['MÃ³nika CsikÃ³s', 'Nabil H. Mustafa', 'Andrey Kupavskii']",2019,8,https://www.jmlr.org/papers/volume20/18-719/18-719.pdf,
SMART: An Open Source Data Labeling Platform for Supervised Learning,Volume 20,"['Rob Chew', 'Michael Wenger', 'Caroline Kery', 'Jason Nance', 'Keith Richards', 'Emily Hadley', 'Peter Baumgartner']",2019,5,https://www.jmlr.org/papers/volume20/18-859/18-859.pdf,https://rtiinternational.github.io/SMART/
On the optimality of the Hedge algorithm in the stochastic regime,Volume 20,"['Jaouad Mourtada', 'StÃ©phane GaÃ¯ffas']",2019,28,https://www.jmlr.org/papers/volume20/18-869/18-869.pdf,
Differentiable Game Mechanics,Volume 20,"['Alistair Letcher', 'David Balduzzi', 'SÃ©bastien RacaniÃ¨re', 'James Martens', 'Jakob Foerster', 'Karl Tuyls', 'Thore Graepel']",2019,40,https://www.jmlr.org/papers/volume20/19-008/19-008.pdf,
Bayesian Space-Time Partitioning by Sampling and Pruning Spanning Trees,Volume 20,"['Leonardo V. Teixeira', 'Renato M. AssunÃ§Ã£o', 'Rosangela H. Loschi']",2019,35,https://www.jmlr.org/papers/volume20/16-615/16-615.pdf,
Streaming Principal Component Analysis From Incomplete Data,Volume 20,"['Armin Eftekhari', 'Gregory Ongie', 'Laura Balzano', 'Michael B. Wakin']",2019,62,https://www.jmlr.org/papers/volume20/16-627/16-627.pdf,
An asymptotic analysis of distributed nonparametric methods,Volume 20,"['Botond SzabÃ³', 'Harry van Zanten']",2019,30,https://www.jmlr.org/papers/volume20/17-666/17-666.pdf,
Model Selection via the VC Dimension,Volume 20,"['Merlin Mpoudeu', 'Bertrand Clarke']",2019,26,https://www.jmlr.org/papers/volume20/17-669/17-669.pdf,
Dependent relevance determination for smooth and structured sparse regression,Volume 20,"['Anqi Wu', 'Oluwasanmi Koyejo', 'Jonathan Pillow']",2019,43,https://www.jmlr.org/papers/volume20/17-757/17-757.pdf,
A Particle-Based Variational Approach to Bayesian Non-negative Matrix Factorization,Volume 20,"['Muhammad A Masood', 'Finale Doshi-Velez']",2019,56,https://www.jmlr.org/papers/volume20/18-153/18-153.pdf,
Best Arm Identification for Contaminated Bandits,Volume 20,"['Jason Altschuler', 'Victor-Emmanuel Brunel', 'Alan Malek']",2019,39,https://www.jmlr.org/papers/volume20/18-395/18-395.pdf,
AffectiveTweets: a Weka Package for Analyzing Affect in Tweets,Volume 20,"['Felipe Bravo-Marquez', 'Eibe Frank', 'Bernhard Pfahringer', 'Saif M. Mohammad']",2019,6,https://www.jmlr.org/papers/volume20/18-450/18-450.pdf,https://github.com/felipebravom/AffectiveTweets
iNNvestigate Neural Networks!,Volume 20,"['Maximilian Alber', 'Sebastian Lapuschkin', 'Philipp Seegerer', 'Miriam HÃ¤gele', 'Kristof T. SchÃ¼tt', 'GrÃ©goire Montavon', 'Wojciech Samek', 'Klaus-Robert MÃ¼ller', 'Sven DÃ¤hne', 'Pieter-Jan Kindermans']",2019,8,https://www.jmlr.org/papers/volume20/18-540/18-540.pdf,https://github.com/albermax/innvestigate
