id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm185557,Sailor Moon R: The Movie,MOVIE,"While enjoying the flower gardens, Sailor Moon (Usagi) and friends encounter an old childhood friend of Mamoru's: an alien! He's come back to give Mamoru a special flower, but doesn't like Usagi and the rest of the planet's inhabitants. Sailor Moon must defend the earth from the evil Kisenian Flower he's brought back... before the evil vines and blossoms overrun the planet!",1993,PG,61,"['fantasy', 'comedy', 'animation', 'action', 'drama', 'romance', 'scifi']",['JP'],,tt0106417,7.7,2543.0,25.201,7.9
ts22555,Tenchi Universe,SHOW,"Tenchi Masaki may be a 17-year-old young man in rural Japan, but  little does he know how bad his day will be getting. When a space pirate  chased by a pair of Galaxy Police officers crash-lands at his  grandfather's temple, Tenchi is sucked into a new adventure that will  literally blast him off into outer space and beyond.",1995,TV-14,25,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'romance']",['JP'],3.0,tt0105559,7.7,2076.0,32.922,6.1
ts28167,Martian Successor Nadesico,SHOW,"Only one ship stands between earth and total annihilation! The High Mobile Battleship Nadesico is the most formidable fighting machine ever conceived, but due to a shortage of trained soldiers, the crew is a little unorthodox. The poor Jovians don't stand a chance against the largest contingent of geeks and misfits ever sent into orbit!",1996,TV-PG,22,"['animation', 'scifi', 'drama', 'romance', 'action', 'comedy']",['JP'],1.0,tt0115263,7.5,471.0,4.729,8.8
ts25996,Magic Knight Rayearth,SHOW,"Hikaru Shidou, Umi Ryuuzaki, and Fuu Hououji are strangers brought together by fate when they meet during a seemingly normal field trip to Tokyo Tower. Accompanied by a great flash of light, they hear a mysterious woman's plea to save ""Cephiro,"" and the junior high heroines are suddenly swept away by a giant flying fish. Afterwards, they arrive in an unknown land, where they encounter a man called Master Mage Clef.

Clef informs the girls that they were summoned by Princess Emeraude to fulfill their destinies as Magic Knights, restoring peace and balance in Cephiro. The formerly lively and peaceful land has been in disarray ever since High Priest Zagato imprisoned the princess, who acted as Cephiro's pillar of stability. The Magic Knights reluctantly accept Clef's words as truth and embark on a journey to save Cephiro from the clutches of evil.",1994,TV-14,24,"['scifi', 'action', 'animation', 'comedy', 'fantasy', 'romance']",['JP'],2.0,tt0112057,7.7,889.0,27.056,8.6
ts13706,Crest of the Stars,SHOW,"Jinto Lin's life changes forever when the Humankind Empire Abh takes over his home planet of Martine without firing a single shot. He is soon sent off to study the Abh language and culture and to prepare himself for his future as a nobleman - a future he never dreamed of. Or wanted. Now, Jinto is entering the next phase of his training, and he is about to meet his first Abh, the lovely Lafiel. But Jinto is about to learn that she is more than she appears to be. And together they will have to fight for their very lives.",1999,TV-14,26,"['drama', 'animation', 'action', 'romance', 'scifi']",['JP'],4.0,tt0486073,7.2,403.0,8.212,6.0
ts28685,VanDread,SHOW,"Hibiki Tokai, a male third-class laborer from Taraak, ends up stuck on a battleship after a botched attempt at stealing a robot. When female pirates capture the Taraakian Vanguard, things don't look like they could get any worse.",2000,TV-14,22,"['action', 'drama', 'scifi', 'animation', 'comedy']",['JP'],2.0,tt0309226,7.0,872.0,19.04,7.0
ts13543,Excel Saga,SHOW,"Hyperactive Excel does anything and everything to try to please her lord, Il Palazzo, who wants to take over the planet. Excel’s misadventures takes her and her partner, the ever-dying Hyatt, all over the world, meeting several strange people as they go. Everything is bizarre and goofy, as any kind of anime or entertainment genre gets mocked and spoofed.",1999,TV-MA,24,"['action', 'scifi', 'animation', 'comedy', 'drama']",['JP'],1.0,tt0240493,7.5,1363.0,10.433,7.4
tm105734,Armitage III: Poly Matrix,MOVIE,"Ross Sylibus is assigned to a police unit on a Martian colony, to find that women are being murdered by a psychotic named D'anclaude. He is assigned a very unorthodox partner named Naomi Armitage, who seems to have links to the victims. To stir things up more, every victim is found to be an illegally made third-generation android.",1996,,90,"['animation', 'scifi', 'thriller']","['JP', 'US']",,,,,5.29,6.5
ts54184,Armitage III,SHOW,"In the year 2046, a cop and his female android partner called Armitage, part of the latest android line known as ""class III"" models that look, act and feel human, investigate illegal manufacture of class III androids on colonized Mars.",1995,,34,"['scifi', 'animation', 'action', 'drama', 'thriller']",['JP'],1.0,tt0366186,6.9,1381.0,4.312,6.2
ts18476,Battle Athletes,SHOW,"In the year 4999 - mankind has long abandoned war in favor of intergalactic competition through athletic events. One of which is an all-female contest for the coveted ""Cosmo Beauty"" title. Akari Kanzaki has just entered the University Satellite in hopes of becoming the latest Cosmic Beauty - a title held by her mother long ago. On her first few days in the university, she meets new friends, encounters fierce rivals, and struggles to become the best of all the Battle Athletes.",1997,TV-14,26,"['action', 'scifi', 'sport', 'animation', 'comedy', 'drama']",['JP'],2.0,tt0195542,5.5,285.0,6.448,5.6
ts21482,Fullmetal Alchemist: Brotherhood,SHOW,"Edward and Alphonse Elric's reckless disregard for alchemy's fun­damental laws ripped half of Ed's limbs from his body and left Al's soul clinging to a cold suit of armor. To restore what was lost, the brothers scour a war-torn land for the Philosopher's Sto­ne, a fabled relic which grants the ability to perform alchemy in impossible ways.

The Elrics are not alone in their search; the corrupt State Military is also eager to harness the artifact's power. So too are the strange Homunculi and their shadowy creator. The mythical gem lures exotic alchemists from distant kingdoms, scarring some deeply enough to inspire murder. As the Elrics find their course altered by these enemies and allies, their purpose remains unchanged – and their bond unbreakable.",2009,TV-14,29,"['scifi', 'action', 'animation', 'comedy', 'drama', 'fantasy']",['JP'],1.0,tt1355642,9.1,156503.0,110.534,8.7
ts11313,DEATH NOTE,SHOW,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",['JP'],1.0,tt0877057,9.0,302147.0,104.037,8.7
ts20305,Naruto,SHOW,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",['JP'],6.0,tt0409591,8.4,93980.0,362.73,8.4
ts27309,Paranoia Agent,SHOW,"An elementary schooler repeatedly attacks people in the streets of Musashino, Tokyo. Known only to the public as ""Lil Slugger"", none of the victims can recall the young boy's face and only three distinct details are left in their memories: golden inline skates, a baseball cap, and the weapon: a bent golden baseball bat. Detectives Ikari and Maniwa set out to track down the perpetrator and put an end to his crimes.",2004,TV-MA,24,"['drama', 'scifi', 'horror', 'thriller', 'animation']",['JP'],1.0,tt0433722,8.0,11623.0,14.508,8.1
