person_id,id,name,character,role
97481,tm50416,Duke York,Man (uncredited),ACTOR
28905,tm50416,Chuck Roberson,Long Tom (uncredited),ACTOR
37831,tm50416,Ray Teal,Marshall Noonan (uncredited),ACTOR
58384,tm50416,John War Eagle,Indian Interpreter (uncredited),ACTOR
60266,tm50416,Chief Yowlachie,Indian at Rifle Shoot (uncredited),ACTOR
13430,tm50416,Guy Wilkerson,Virgil Earp (uncredited),ACTOR
35532,tm50416,Anthony Mann,,DIRECTOR
16024,tm60533,Gregory Peck,Jimmy Ringo,ACTOR
65868,tm60533,Helen Westcott,Peggy Walsh,ACTOR
60242,tm60533,Millard Mitchell,Marshal Mark Strett,ACTOR
120274,tm60533,Jean Parker,Molly,ACTOR
22247,tm60533,Karl Malden,Mac,ACTOR
60472,tm60533,Skip Homeier,Hunt Bromley,ACTOR
137392,tm60533,Anthony Ross,Deputy Charlie Norris,ACTOR
5904,tm60533,Verna Felton,Mrs. August Pennyfeather,ACTOR
1060,tm60533,Ellen Corby,Mrs. Devlin,ACTOR
35200,tm60533,Richard Jaeckel,Eddie,ACTOR
60244,tm60533,Victor Adamson,Townsman at Funeral (uncredited),ACTOR
27569,tm60533,Murray Alper,Townsman at Funeral (uncredited),ACTOR
137380,tm60533,C.E. Anderson,Street Loafer (uncredited),ACTOR
137381,tm60533,Carl Andre,Street Loafer (uncredited),ACTOR
25659,tm60533,Beulah Archuletta,Indian woman (uncredited),ACTOR
58385,tm60533,Gregg Barton,Pete's Pal (uncredited),ACTOR
49069,tm60533,Chet Brandenburg,Townsman at Funeral (uncredited),ACTOR
7216,tm60533,Peter Brocco,Card Player (uncredited),ACTOR
137382,tm60533,Larry Buchanan,Bit Part (uncredited),ACTOR
93472,tm60533,Harry Carter,Townsman (uncredited),ACTOR
41676,tm60533,Cliff Clark,Jerry Marlowe (uncredited),ACTOR
101846,tm60533,Angela Clarke,Mac's Wife (uncredited),ACTOR
73636,tm60533,David Clarke,Second Brother (uncredited),ACTOR
27234,tm60533,Edmund Cobb,Citizen (uncredited),ACTOR
21779,tm60533,Heinie Conklin,Townsman at Funeral (uncredited),ACTOR
47796,tm60533,Dick Curtis,Crowd Extra (uncredited),ACTOR
1257196,tm60533,Donald Duran,Boy (uncredited),ACTOR
1257195,tm60533,Eddie Ehrhart,Archie (uncredited),ACTOR
32291,tm60533,John George,Townsman at Funeral (uncredited),ACTOR
22487,tm60533,Herschel Graham,Townsman at Funeral (uncredited),ACTOR
82971,tm60533,Herman Hack,Townsman at Funeral (uncredited),ACTOR
73157,tm60533,Alan Hale Jr.,First Brother (uncredited),ACTOR
71925,tm60533,Sherry Hall,Townsman (uncredited),ACTOR
37836,tm60533,Harry Harvey,Ike (uncredited),ACTOR
137383,tm60533,Jim Hayward,Minor Role (uncredited),ACTOR
82261,tm60533,Len Hendry,Card Player (uncredited),ACTOR
73843,tm60533,Ray Hyke,Card Player (uncredited),ACTOR
137384,tm60533,Jean Inness,Alice Marlowe (uncredited),ACTOR
46081,tm60533,Tommy Lee,Long Fu - Cayenne Restaurant Cook (uncredited),ACTOR
137386,tm60533,Pierce Lyden,Barfly (uncredited),ACTOR
1257193,tm60533,Terry MacRae,Street Loafer (uncredited),ACTOR
60250,tm60533,Ted Mapes,Pete's Pal (uncredited),ACTOR
41680,tm60533,Mae Marsh,Mrs. O'Brien (uncredited),ACTOR
565932,tm60533,Forrest Matthews,Bud (uncredited),ACTOR
101889,tm60533,John McKee,Card Player (uncredited),ACTOR
565933,tm60533,Harry Mendoza,Frank Loving (uncredited),ACTOR
27306,tm60533,James Millican,Pete (uncredited),ACTOR
69474,tm60533,Ralph Moody,Old Man (uncredited),ACTOR
13400,tm60533,Alberto Morin,Pablo (uncredited),ACTOR
310126,tm60533,Edward Mundy,Man on Street (uncredited),ACTOR
682213,tm60533,B.G. Norman,Jimmie Walsh (uncredited),ACTOR
565934,tm60533,Herman Nowlin,Skeeter (uncredited),ACTOR
564986,tm60533,Eddie Parks,Joe the Barber (uncredited),ACTOR
1240493,tm60533,Hank Patterson,Jake (uncredited),ACTOR
65616,tm60533,John Pickard,Third Brother (uncredited),ACTOR
57856,tm60533,'Snub' Pollard,Townsman at Funeral (uncredited),ACTOR
732001,tm60533,Edward Rickard,Townsman at Funeral (uncredited),ACTOR
1149091,tm60533,Warren Schannon,Boy (uncredited),ACTOR
15256,tm60533,Harry Shannon,Chuck (uncredited),ACTOR
1962002,tm60533,George Slocum,Street Loafer (uncredited),ACTOR
1257276,tm60533,Marvin Smith,Boy (uncredited),ACTOR
137389,tm60533,Kim Spalding,Clerk (uncredited),ACTOR
21363,tm60533,Ray Spiker,Townsman at Funeral (uncredited),ACTOR
49089,tm60533,Houseley Stevenson,Mr. Barlow (uncredited),ACTOR
27339,tm60533,Ferris Taylor,George the Grocer (uncredited),ACTOR
10384,tm60533,Kenneth Tobey,Swede (uncredited),ACTOR
93410,tm60533,Jack Tornek,Barfly (uncredited),ACTOR
71403,tm60533,Archie Twitchell,Johnny (uncredited),ACTOR
62615,tm60533,William Vedder,Minister (uncredited),ACTOR
13427,tm60533,Dan White,Card Player in Barber Shop (uncredited),ACTOR
93411,tm60533,Blackie Whiteford,Townsman at Funeral (uncredited),ACTOR
74995,tm60533,Anne Whitfield,Carrie Lou (uncredited),ACTOR
97481,tm60533,Duke York,Pete's Pal (uncredited),ACTOR
1257191,tm60533,Credda Zajac,Mrs. Cooper (uncredited),ACTOR
60071,tm60533,Henry King,,DIRECTOR
392673,tm56594,Jackie Robinson,himself,ACTOR
7280,tm56594,Ruby Dee,Rae Robinson,ACTOR
49043,tm56594,Minor Watson,"Branch Rickey, President Brooklyn Dodgers",ACTOR
106309,tm56594,Louise Beavers,Jackie's Mother,ACTOR
130288,tm56594,Richard Lane,"Clay Hopper, Montreal Manager",ACTOR
15256,tm56594,Harry Shannon,"Frank Shaughnessy, Dodger Executive",ACTOR
151259,tm56594,Ben Lessy,"Shorty, Montreal Player",ACTOR
571867,tm56594,William 'Bill' Spaulding,Bill Spaulding (as Bill Spaulding),ACTOR
27355,tm56594,Billy Wayne,Clyde Sukeforth,ACTOR
205951,tm56594,Joel Fluellen,Mack Robinson,ACTOR
90314,tm56594,Bernie Hamilton,Ernie,ACTOR
150870,tm56594,Kenny Washington,Tigers Manager,ACTOR
25663,tm56594,Pat Flaherty,Karpen,ACTOR
94606,tm56594,Larry McGrath,Umpire,ACTOR
100488,tm56594,Emmett Smith,Catcher,ACTOR
554380,tm56594,George Dockstader,Bill,ACTOR
563574,tm56594,Howard Louis McNeely,Jackie as a Boy,ACTOR
151517,tm56594,Alfred E. Green,,DIRECTOR
25020,tm66116,James Stewart,Tom Jeffords,ACTOR
210920,tm66116,Jeff Chandler,Cochise,ACTOR
36490,tm66116,Debra Paget,Sonseeahray 'Morningstar',ACTOR
