person_id,id,name,character,role
2339864,tm162101,Karim Hocini,Bart's Thug,ACTOR
2339816,tm162101,Loïc Molla,Bart's Thug,ACTOR
1450917,tm162101,Louis-Marie Nyee,Bart's Thug,ACTOR
33888,tm162101,Kazu Patrick Tang,Bart's Thug,ACTOR
340042,tm162101,Michaël Troude,Bart's Thug,ACTOR
735242,tm162101,Frédéric Alhinho,Bart's Thug,ACTOR
200025,tm162101,Vincent Chatelain,Bart's Thug,ACTOR
2340023,tm162101,Tarick Hadouch,Bart's Thug,ACTOR
2339887,tm162101,Scott Rider,Trainer Brute,ACTOR
1168878,tm162101,Pascal Lopez,Bart's Young Thug,ACTOR
799168,tm162101,Pascal Lavanchy,Bart's Driver,ACTOR
462123,tm162101,Pierre-Quentin Faesch,Concert Announcer,ACTOR
1416811,tm162101,Vincent Tulli,Dead Fighter,ACTOR
2339910,tm162101,Clara Creantor,"Felina, Bart's Girl",ACTOR
2339893,tm162101,Christelle Senechal,"Kany Love, Bart's Girl",ACTOR
2339900,tm162101,Isabelle Didier,"Nomi, Bart's Girl",ACTOR
2340097,tm162101,Gwenael Mairey,"Angèle, Bart's Girl",ACTOR
2340027,tm162101,Ariadna Cascaval,"Crazy Dancer, Bart's Girl",ACTOR
365631,tm162101,Ludmila Henry,Fight Club Figure,ACTOR
359817,tm162101,Rébecca Hazan,Fight Club Figure,ACTOR
811543,tm162101,Hyggins Sansa,Fight Club Figure,ACTOR
333321,tm162101,Christian Gazio,Paramedic,ACTOR
1445618,tm162101,Matthieu Albertini,Paramedic,ACTOR
1889267,tm162101,Georges Benoit,Doctor,ACTOR
2339942,tm162101,Osana Ekue,Wyeth's Girlfriend,ACTOR
2339983,tm162101,Kathy Farkas,"Cocaine Girl, Fight Club",ACTOR
2339791,tm162101,Friedrich Hartwig,"Extasy Guy, Fight Club",ACTOR
721742,tm162101,Stéphane Gluck,Bookmaker,ACTOR
2339936,tm162101,Victor Izquierdo,Factory Security Man,ACTOR
2340038,tm162101,Igor Joly-Erard,Factory Security Man,ACTOR
2339831,tm162101,Sety Diaby,Factory Security Man,ACTOR
838701,tm162101,Gilles Louzon,Factory Security Man,ACTOR
2340037,tm162101,Kamel Tazit,Factory Security Man,ACTOR
261899,tm162101,Georges Bouchelagem,Factory Security Man,ACTOR
2339964,tm162101,Tyana Raboana,Factory Security Man,ACTOR
2340000,tm162101,Jean Atonga,Factory Security Man,ACTOR
2340111,tm162101,Jamal Bellyazid,Factory Security Man,ACTOR
2340065,tm162101,Serge Gnaly,Factory Security Man,ACTOR
2339970,tm162101,Fred Zanolino,Factory Security Man,ACTOR
2339946,tm162101,Michel Flasch,Factory Attendant,ACTOR
2340011,tm162101,Iouri Zagorski,Factory Attendant,ACTOR
9865,tm162101,Silvio Simac,1st fighter in underground pool fight (uncredited),ACTOR
7900,tm162101,Louis Leterrier,,DIRECTOR
104692,ts33582,Yoon Eun-hye,Go Eun-chan,ACTOR
204231,ts33582,Gong Yoo,Choi Han-kyul,ACTOR
53512,ts33582,Lee Sun-kyun,Choi Han-sun,ACTOR
100738,ts33582,Chae Jung-an,Han Yoo-joo,ACTOR
101840,ts33582,Kim Chang-wan,CEO Hong,ACTOR
159794,ts33582,Kim Dong-wook,Jin Ha-rim,ACTOR
103542,ts33582,Kim Jae-wook,No Sun-Ki,ACTOR
169073,ts33582,Lee Eon,Hwang Min-yeop,ACTOR
1470302,ts33582,Han Ye-in,Go Eun-sae,ACTOR
59297,ts33582,Lee Han-wi,Mr. Koo,ACTOR
110400,ts33582,Kim Young-ok,Grandmother,ACTOR
45836,ts33582,Choi Il-hwa,Father,ACTOR
145443,ts33582,Kim Ja-ok,Han-kyul's mother,ACTOR
157042,ts33582,Park Won-sook,Eun-chan's mother,ACTOR
677294,ts33582,Lee Yoon-jung,,DIRECTOR
94817,ts30080,Hyun Bin,Kim Joo-won,ACTOR
94711,ts30080,Ha Ji-won,Gil Ra-im,ACTOR
94819,ts30080,Yoon Sang-hyun,Choi Woo-young / Oska,ACTOR
94818,ts30080,Kim Sa-rang,Yoon Seul,ACTOR
901240,ts30080,Lee Philip,Im Jong-soo,ACTOR
94820,ts30080,Yoo In-na,Im Ah-young,ACTOR
86611,ts30080,Lee Jong-suk,Han Tae-sun,ACTOR
94821,ts30080,Park Joon-geum,Moon Boon-hong,ACTOR
1010664,ts30080,Kim Sung-oh,Secretary Kim,ACTOR
722042,ts30080,Yoo Seo-jin,Lee Ji-Hyun,ACTOR
129153,ts30080,Kim Mi-kyeong,chicken soup restaurant madam,ACTOR
59293,ts30080,Son Ye-jin,Son Ye-jin,ACTOR
188627,ts30080,Song Yun-ah,cameo,ACTOR
515989,ts30080,Baek Ji-young,cameo,ACTOR
