id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm853516,Go Don't Go,MOVIE,"A wallflower finds himself the last man in the world after an unknown apocalypse. He sticks to the routines that keep him sane, but in a moment of nostalgia and heartache for lost love, he triggers a chain-reaction that sends him spiralling toward a deadly revelation.",2020,,95,"['scifi', 'drama', 'thriller']",['US'],,tt8997082,3.5,160.0,2.175,6.7
tm815170,Nail in the Coffin: The Fall and Rise of Vampiro,MOVIE,"A rare glimpse into the legendary career of wrestling icon, Vampiro, as he grapples with his demons and life after fame. Straight from one of wrestling's most outspoken characters, this is a candid look beyond the ring.",2019,,88,"['documentation', 'sport', 'action']","['MX', 'US', 'CA']",,tt10489756,7.2,148.0,1.887,4.7
tm944813,The Truth Will Out,MOVIE,"Thomas Laboss host of ""Hard Streets UK"", hits the road interviewing families from differing cultures across the UK, uncovering truths, whilst being his usual exploitative self. But there's something a bit more sinister about one particular family and he may not get out of this one alive!",2020,,86,['horror'],['GB'],,tt9371362,4.2,150.0,1.827,8.0
tm916108,Sleepless Beauty,MOVIE,"A young woman, Mila, is kidnapped by a mysterious and dangerous organization known as Recreation.  Forced to stay awake and under constant surveillance, Mila must fight for control of her own mind.",2020,,84,['horror'],['RU'],,,,,2.716,5.0
tm428905,Evolution of Evil,MOVIE,"'Evolution of Evil' is the story of Lori and Christopher, a Pacific Northwest couple wanting to get away from the hustle and bustle of the city into the wilderness. The couple makes their way past the usual campsites, and backpack into the remote Mt. Hood Wilderness area.",2020,,69,['thriller'],['US'],,tt7385832,4.0,1637.0,2.118,6.5
tm944405,Monster Force Zero,MOVIE,A group of sci-fi cosplayers are granted superpowers and are transported into the multiverse to do real battle with evil alien forces bent on Earth's destruction.,2020,R,82,"['comedy', 'scifi']",['US'],,tt6222828,3.6,204.0,3.563,0.5
tm922361,Rook.,MOVIE,A failed gold heist leaves two siblings and a few of their friends at the mercy of two backwoods brothers hell-bent on getting back what's theirs.,2020,,69,"['crime', 'european', 'comedy', 'drama']",['CH'],,tt8487982,4.3,868.0,1.833,6.7
tm831201,Widow's Point,MOVIE,An author who spends a weekend locked in a haunted lighthouse as a publicity stunt for his next book becomes a target for powerful supernatural forces.,2019,,88,"['horror', 'thriller', 'drama']",['US'],,tt8902980,3.2,441.0,2.633,6.7
tm435736,Deadly Crush,MOVIE,"When a painter rents a secluded cabin to jump start her creativity, she has sex with a ghost and finds herself part of his plan to bring itself back to life.",2020,,85,"['thriller', 'horror']",['US'],,tt3908826,4.7,1493.0,4.057,7.5
tm898278,Robot Riot,MOVIE,Unconscious soldiers are dropped into a testing site only to discover their memories have been wiped and that once docile machines are the new intelligence.,2020,,79,"['scifi', 'action']",['US'],,tt12416066,3.1,318.0,7.529,5.2
tm897750,Attention,MOVIE,"If ever you come across Demons, do all you can to ignore them, for they feed on attention.",2019,,3,['drama'],[],,,,,0.6,
tm497112,A Wakefield Project,MOVIE,"The veil between the living and the dead has lifted for 24 hours, would you survive?",2019,,88,"['scifi', 'thriller', 'horror']",[],,tt8764144,2.5,329.0,2.224,6.0
tm864411,Nina of the Woods,MOVIE,"A meditative new take on the thriller genre that follows Nina, an aspiring actress, after she agrees to lend her ""local authenticity"" to a supernatural reality TV show filming in the tiny town she left as a young child. She and the tiny documentary crew follow an enigmatic guide deep into a labyrinthine forest, where they seem to encounter an ancient, hypnotic force that locks the team under a subtle spell.",2020,R,91,"['thriller', 'scifi', 'action']",['US'],,tt6089744,3.1,163.0,1.612,7.0
tm814640,Safeguard,MOVIE,"When a Japanese restaurant is extorted by the Russian Mafia in London, a father takes matters into his own hands to protect his family and save their business at all costs.",2020,R,90,"['thriller', 'drama', 'action']",['GB'],,tt9916190,3.6,231.0,2.413,6.5
tm473576,Dark Sense,MOVIE,"Simon, a traumatised young man who can glimpse the future must do anything to stop a killer, even if it means being the murderer’s final victim. He hires Steve, an ex-SAS soldier but their plan goes awry.",2019,,93,['thriller'],['GB'],,tt4082314,4.7,343.0,2.453,3.5
