person_id,id,name,character,role
41673,tm50402,Eddy Waller,Embarcadero Storekeeper (uncredited),ACTOR
57604,tm50402,Norman Foster,,DIRECTOR
83720,tm4525,Richard Basehart,Roy Martin / Roy Morgan,ACTOR
37858,tm4525,Scott Brady,Police Sgt. Marty Brennan,ACTOR
17911,tm4525,Roy Roberts,Police Captain Breen,ACTOR
44077,tm4525,Whit Bissell,Paul Reeves,ACTOR
137515,tm4525,James Cardwell,Police Sgt. Chuck Jones,ACTOR
21173,tm4525,Jack Webb,Lee Whitey,ACTOR
102427,tm4525,Reed Hadley,Narrator (voice) (uncredited),ACTOR
37829,tm4525,Frank Cady,Pete Hammond,ACTOR
58703,tm4525,Thomas Browne Henry,Dunning,ACTOR
30002,tm4525,Dorothy Adams,Milk Customer,ACTOR
364822,tm4525,Jane Adams,Nurse Scanion (uncredited),ACTOR
133891,tm4525,Jack Bailey,Witness in Pajamas and Robe (uncredited),ACTOR
116906,tm4525,Alma Beltran,Miss Montalvo (uncredited),ACTOR
106290,tm4525,Robert Bice,Detective with Capt. Breen (uncredited),ACTOR
569194,tm4525,Dolores Castelli,Witness (uncredited),ACTOR
1256072,tm4525,George Chan,Chinese Suspect (uncredited),ACTOR
1322330,tm4525,Garrett Craig,Patrolman (uncredited),ACTOR
33776,tm4525,John Dehner,Assistant Bureau Chief (uncredited),ACTOR
27196,tm4525,Ann Doran,Dispatcher (uncredited),ACTOR
573061,tm4525,Rex Downing,Young Hoodlum (uncredited),ACTOR
81223,tm4525,Michael Dugan,Patrolman (uncredited),ACTOR
117316,tm4525,Paul Fierro,Spanish-Speaking Detective (uncredited),ACTOR
27260,tm4525,Byron Foulger,Freddie (uncredited),ACTOR
1587395,tm4525,Kay Garrett,Doctor (uncredited),ACTOR
84207,tm4525,Tim Graham,Uniformed Sergeant (uncredited),ACTOR
47772,tm4525,Kit Guard,Suspect (uncredited),ACTOR
37836,tm4525,Harry Harvey,Liquor Store Proprietor (uncredited),ACTOR
58703,tm4525,Thomas Browne Henry,Dunning (uncredited),ACTOR
152869,tm4525,Peter Hobbes,Milkman (uncredited),ACTOR
561683,tm4525,Virginia Hunter,Miss Smith (uncredited),ACTOR
686790,tm4525,Felice Ingersoll,Records Clerk (uncredited),ACTOR
207304,tm4525,Anthony Jochim,Liquor Store Proprietor (uncredited),ACTOR
565920,tm4525,Stan Johnson,Artist (uncredited),ACTOR
676386,tm4525,Louise Kane,Mrs. Rawlins (uncredited),ACTOR
13392,tm4525,Tommy Kelly,Redhead (uncredited),ACTOR
27281,tm4525,Donald Kerr,Mailman (uncredited),ACTOR
250437,tm4525,Charles Lang,Policeman (uncredited),ACTOR
62605,tm4525,Lyle Latell,Police Sergeant (uncredited),ACTOR
